zip,county,city
28709,Buncombe,Barnardsville
28710,Henderson,Bat Cave
28711,Buncombe,Black Mountain
28712,Transylvania,Brevard
28713,Swain,Bryson City
28714,Yancey,Burnsville
28715,Buncombe,Candler
28716,Haywood,Canton
28717,Jackson,Cashiers
28718,Transylvania,Cedar Mountain
28719,Swain,Cherokee
28720,Rutherford,Chimney Rock
28721,Haywood,Clyde
28722,Polk,Columbus
28723,Jackson,Cullowhee
28724,Henderson,Dana
28725,Jackson,Dillsboro
28726,Henderson,East Flat Rock
28727,Henderson,Edneyville
28728,Buncombe,Enka
28729,Henderson,Etowah
28730,Buncombe,Fairview
28731,Henderson,Flat Rock
28732,Henderson,Fletcher
28733,Graham,Fontana Dam
28734,Macon,Franklin
28735,Henderson,Gerton
28736,Jackson,Glenville
28737,McDowell,Glenwood
28738,Haywood,Hazelwood
28739,Henderson,Hendersonville
28740,Yancey,Green Mountain
28741,Macon,Highlands
28742,Henderson,Horse Shoe
28743,Madison,Hot Springs
28744,Macon,Franklin
28745,Haywood,Lake Junaluska
28746,Rutherford,Lake Lure
28747,Transylvania,Lake Toxaway
28748,Buncombe,Leicester
28749,McDowell,Little Switzerland
28750,Polk,Lynn
28751,Haywood,Maggie Valley
28752,McDowell,Marion
28753,Madison,Marshall
28754,Madison,Mars Hill
28755,Yancey,Micaville
28756,Polk,Mill Spring
28757,Buncombe,Montreat
28758,Henderson,Mountain Home
28759,Henderson,Mills River
28760,Henderson,Naples
28761,McDowell,Nebo
28762,McDowell,Old Fort
28763,Macon,Otto
28765,Mitchell,Penland
28766,Transylvania,Penrose
28768,Transylvania,Pisgah Forest
28770,Buncombe,Ridgecrest
28771,Graham,Robbinsville
28772,Transylvania,Rosman
28773,Polk,Saluda
28774,Jackson,Sapphire
28775,Macon,Scaly Mountain
28776,Buncombe,Skyland
28777,Mitchell,Spruce Pine
28778,Buncombe,Swannanoa
28779,Jackson,Sylva
28781,Macon,Topton
28782,Polk,Tryon
28783,Jackson,Tuckasegee
28784,Henderson,Tuxedo
28785,Haywood,Waynesville
28786,Haywood,Waynesville
28787,Buncombe,Weaverville
28788,Jackson,Webster
28789,Jackson,Whittier
28790,Henderson,Zirconia
28791,Henderson,Hendersonville
28792,Henderson,Hendersonville
28793,Henderson,Hendersonville
28801,Buncombe,Asheville
28802,Buncombe,Asheville
28803,Buncombe,Asheville
28804,Buncombe,Asheville
28805,Buncombe,Asheville
28806,Buncombe,Asheville
28810,Buncombe,Asheville
28813,Buncombe,Asheville
28814,Buncombe,Asheville
28815,Buncombe,Asheville
28816,Buncombe,Asheville
28901,Cherokee,Andrews
28902,Clay,Brasstown
28903,Cherokee,Culberson
28904,Clay,Hayesville
28905,Cherokee,Marble
28906,Cherokee,Murphy
28909,Clay,Warne
